position_code,area,department,position,degree,major,number_of_recruits,number_of_applicants
160063,安庆,怀宁县科技经济信息化局,信息化管理,本科,计算机类、电子信息类,1,45
160064,安庆,怀宁县司法局,司法助理,本科,法学类,1,6
160065,安庆,怀宁县司法局,行政复议,本科,法学类,1,4
160066,安庆,怀宁县人力资源和社会保障局,综合文字,本科,中国语言文学类,1,15
160067,安庆,怀宁县人力资源和社会保障局,劳动仲裁,本科,法学类,1,8
160068,安庆,怀宁县人力资源和社会保障局,财务管理,本科,会计学专业、财务管理专业、审计学专业,1,9
160069,安庆,怀宁县自然资源和规划局,城乡规划,本科,地理科学类、计算机科学与技术专业、环境科学专业、法学专业,2,66
160070,安庆,怀宁县交通运输局,综合文字,本科,汉语言文学专业、汉语言专业、新闻学专业,1,8
160071,安庆,怀宁县农业农村局,综合文字,本科,中国语言文学类、新闻传播学类,1,13
160072,安庆,怀宁县农业农村局,农业经济管理,本科,经济学类,1,14
160073,安庆,怀宁县水利局,水利技术,本科,水利类,2,30
160074,安庆,怀宁县水利局,综合文字,本科,中国语言文学类,1,5
160075,安庆,怀宁县文化旅游体育局,综合文字,本科,中国语言文学类,1,7
160076,安庆,怀宁县卫生健康委员会,卫生健康管理,本科,临床医学专业、基础医学专业、预防医学专业,1,14
160077,安庆,怀宁县卫生健康委员会,机关综合,本科,中国语言文学类、法学专业,1,10
160078,安庆,怀宁县应急管理局,应急管理,本科,安全工程专业、应急技术与管理专业、采矿工程专业、化工安全工程专业、化学工程与工艺专业、法学专业,1,24
160079,安庆,怀宁县审计局,综合审计监督1,本科,土木类、建筑类、环境科学与工程类、工程管理专业、工程审计专业、工程造价专业,1,44
160080,安庆,怀宁县审计局,综合审计监督2,本科,金融学类、财政学类、会计学专业、审计学专业、经济学专业、财务管理专业,1,16
160081,安庆,怀宁县市场监督管理局,市场监管1,本科,法学专业、知识产权专业、信用风险管理与法律防控专业,6,40
160082,安庆,怀宁县市场监督管理局,市场监管2,本科,中国语言文学类,2,11
160083,安庆,怀宁县市场监督管理局,市场监管3,本科,不限,2,4
160084,安庆,怀宁县市场监督管理局,市场监管4,本科,不限,3,69
160085,安庆,怀宁县县直机关,机关综合,本科,不限,3,27
160086,安庆,怀宁县乡镇机关,项目建设管理,专科,不限,5,243
160087,安庆,怀宁县乡镇机关,乡村振兴,本科,不限,6,12
160088,安庆,怀宁县乡镇机关,民政事务管理,本科,不限,7,119
160089,安庆,怀宁县平山镇,人武专干,专科,不限,1,8
160090,安庆,怀宁县乡镇机关（乡镇财政所）,乡镇财政管理1,专科,不限,4,191
160091,安庆,怀宁县乡镇机关（乡镇财政所）,乡镇财政管理2,本科,不限,3,9
160092,安庆,怀宁县乡镇机关（乡镇财政所）,财务管理,本科,财政学类、经济学类、金融学类、工商管理类,8,142
160093,安庆,怀宁县乡镇机关（乡镇财政所）,综合文字,本科,中国语言文学类、新闻传播学类、哲学类,2,20
160094,安庆,怀宁县乡镇机关（乡镇财政所）,财政工程管理,本科,管理科学与工程类、工业工程类、土木类,2,51
160095,安庆,怀宁县乡镇机关,村镇综合管理,高中（中专）,不限,2,0
160096,安庆,潜山市油坝乡,人武专干,专科,人民武装专业（退役军人报考可不限专业）,1,25
160097,安庆,潜山市乡镇机关,乡村旅游管理,专科,不限,7,75
160098,安庆,潜山市乡镇机关,乡村振兴管理1,专科,不限,8,389
160099,安庆,潜山市乡镇机关,乡村振兴管理2,专科,不限,8,312
160100,安庆,潜山市乡镇机关,社会事务管理,本科,不限,6,129
160101,安庆,潜山市乡镇机关,组织人事管理,专科,不限,8,125
160102,安庆,潜山市乡镇机关,乡村振兴管理,高中（中专）,不限,2,0
160103,安庆,岳西县司法局,行政复议,本科,法学类,1,10
160104,安庆,岳西县司法局,社区矫正1,本科,不限,1,10
160105,安庆,岳西县司法局,社区矫正2,本科,法学类,2,35
160106,安庆,岳西县司法局,司法行政,本科,法学类,2,9
160107,安庆,岳西县毛尖山乡,人武专干,专科,人民武装专业（退役军人报考可不限专业）,1,31
160108,安庆,岳西县乡镇机关,项目建设,专科,不限,5,64
160109,安庆,岳西县乡镇机关,民政事务,专科,不限,4,84
160110,安庆,岳西县乡镇机关,农机农技,本科,工学门类、管理学门类、农学门类,4,87
160111,安庆,岳西县乡镇机关,财务管理,本科,经济学门类、统计学类、会计学专业,3,81
160112,安庆,岳西县乡镇机关,村镇建设,专科,不限,6,343
160113,安庆,太湖县司法局,司法行政,本科,法学类,3,14
160114,安庆,太湖县司法局,财务管理,本科,会计学专业、财务管理专业、审计学专业、金融学专业,1,15
